"model_name","equation","variable","coefficient","std_error","z_statistic","p_value","log_likelihood","aic","bic","n_obs","alpha","vuong_statistic","vuong_pvalue"
"poisson_baseline","count","(Intercept)",-0.49340032452673,0.104255258020682,-4.73261813259195,2.21642230817447e-06,-6214.91369426745,12437.8273885349,12461.8528588055,3000,NA,NA,NA
"poisson_baseline","count","age",0.0130611844154738,0.00160773098573763,8.12398624604558,4.51116907931277e-16,-6214.91369426745,12437.8273885349,12461.8528588055,3000,NA,NA,NA
"poisson_baseline","count","income",-0.00319584971872988,0.000888598152732791,-3.59650727260841,0.000322518570641482,-6214.91369426745,12437.8273885349,12461.8528588055,3000,NA,NA,NA
"poisson_baseline","count","chronic_condition",0.691531382405797,0.0635733158147872,10.8776988197452,1.47232948080484e-27,-6214.91369426745,12437.8273885349,12461.8528588055,3000,NA,NA,NA
"negbin_baseline","count","(Intercept)",-0.509950923693268,0.120011044834355,-4.24919993319886,2.14535376991176e-05,-4388.79974736106,8787.59949472212,8817.63133256037,3000,3.10661116149252,NA,NA
"negbin_baseline","count","age",0.0133142008444918,0.00186188972355636,7.15090731531653,8.62061843677676e-13,-4388.79974736106,8787.59949472212,8817.63133256037,3000,3.10661116149252,NA,NA
"negbin_baseline","count","income",-0.00308551155339409,0.00103460547674115,-2.98230738456264,0.00286084603724633,-4388.79974736106,8787.59949472212,8817.63133256037,3000,3.10661116149252,NA,NA
"negbin_baseline","count","chronic_condition",0.68456427417742,0.0771080135375109,8.87799131077859,6.80785555805338e-19,-4388.79974736106,8787.59949472212,8817.63133256037,3000,3.10661116149252,NA,NA
"zip","count","(Intercept)",0.452737948882349,0.0614307176801585,7.36989515960967,1.70762273555824e-13,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","count","age",0.0121005782707211,0.000885102607722035,13.6713847243813,1.50503620126918e-42,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","count","income",-0.00231791863584866,0.000506942328036834,-4.57235174033493,4.82280455285491e-06,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","count","chronic_condition",0.557387394183458,0.0335486325529059,16.6143103837232,5.49025535977602e-62,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","zero_inflate","(Intercept)",1.12660630104397,0.103612411964497,10.8732755051587,1.54550643774244e-27,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","zero_inflate","insurance",-1.2931371111813,0.0941163473874286,-13.7397715389242,5.86606038122935e-43,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","zero_inflate","distance_clinic",0.0377031013424214,0.00349924203287409,10.7746480489816,4.53513194074019e-27,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zip","zero_inflate","urban",-0.630399579432771,0.0885037221546222,-7.12285951467012,1.05710556229785e-12,-4192.59273135565,8401.1854627113,8449.2364032525,3000,NA,25.7010293962141,5.69159068591667e-146
"zinb","count","(Intercept)",0.297043606730011,0.0870600725838961,3.41193842267662,0.000645026823791406,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","count","age",0.0130781510400705,0.00128159083947796,10.2046227526078,1.8905440012467e-24,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","count","income",-0.00255528099341704,0.000718393351687663,-3.55693853153586,0.00037520190455252,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","count","chronic_condition",0.621950111223182,0.0502607539079188,12.3744684045655,3.59265050519175e-35,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","zero_inflate","(Intercept)",1.00132444522729,0.110627035334129,9.05135387749453,1.41206528498371e-19,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","zero_inflate","insurance",-1.39706050883946,0.102287623022129,-13.6581579233415,1.80491953535591e-42,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","zero_inflate","distance_clinic",0.040711761347361,0.00379335410417027,10.7323915008631,7.17157405672981e-27,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
"zinb","zero_inflate","urban",-0.691709035719089,0.0970368333466953,-7.12831418609608,1.01605642288516e-12,-4071.04898051324,8160.09796102649,8214.15526913534,3000,0.316452776399866,NA,NA
