"impulse_var","response_var","horizon","irf_value","lower_ci","upper_ci","dataset","model_name"
"e","e",0,0.362815019443702,0.290230500126636,0.397272878283079,"Canada","VAR2_Canada"
"e","e",1,0.54753374684589,0.374406366736991,0.590056178525132,"Canada","VAR2_Canada"
"e","e",2,0.617918139257405,0.349983194223469,0.711092061074278,"Canada","VAR2_Canada"
"e","e",3,0.611356327910773,0.290672412518726,0.746393145954749,"Canada","VAR2_Canada"
"e","e",4,0.55204752358687,0.223355126894244,0.720837440200184,"Canada","VAR2_Canada"
"e","e",5,0.460693977592877,0.0832488284580057,0.686833384291464,"Canada","VAR2_Canada"
"e","e",6,0.353829628167869,-0.0512605858847649,0.599942006291576,"Canada","VAR2_Canada"
"e","e",7,0.243763217902502,-0.176239157931022,0.521688563783862,"Canada","VAR2_Canada"
"e","e",8,0.139005560995478,-0.285950294747798,0.460428558046914,"Canada","VAR2_Canada"
"e","e",9,0.0449000033592643,-0.380071062579879,0.412887396878754,"Canada","VAR2_Canada"
"e","e",10,-0.0356814346531297,-0.452836234185016,0.376919894133321,"Canada","VAR2_Canada"
"e","prod",0,-0.0205855405810019,-0.145026140864448,0.138740488396041,"Canada","VAR2_Canada"
"e","prod",1,-0.00120094652349445,-0.16419187977202,0.20941779538584,"Canada","VAR2_Canada"
"e","prod",2,0.0148084358862676,-0.208119038722028,0.319040979193661,"Canada","VAR2_Canada"
"e","prod",3,-0.0215714335603785,-0.282113121724069,0.315018390577626,"Canada","VAR2_Canada"
"e","prod",4,-0.084914238334221,-0.373294344210594,0.266547413751165,"Canada","VAR2_Canada"
"e","prod",5,-0.155700529978919,-0.474652593096458,0.218167676537186,"Canada","VAR2_Canada"
"e","prod",6,-0.221442353648854,-0.52258638270665,0.167459442965895,"Canada","VAR2_Canada"
"e","prod",7,-0.274945401087421,-0.537397218271206,0.135056498080871,"Canada","VAR2_Canada"
"e","prod",8,-0.31305977844225,-0.588052617464167,0.0941235246698477,"Canada","VAR2_Canada"
"e","prod",9,-0.335382897355303,-0.559062246899277,0.0743888079048793,"Canada","VAR2_Canada"
"e","prod",10,-0.34320314995234,-0.531082341634482,0.0625675746347961,"Canada","VAR2_Canada"
"e","rw",0,-0.116033519182364,-0.267822823508009,0.0607685353308878,"Canada","VAR2_Canada"
"e","rw",1,-0.2020831397459,-0.348597464870251,-0.00143961366888831,"Canada","VAR2_Canada"
