"model_name","variable","coefficient","std_error","statistic","p_value","metric_type","critical_value_5pct","eigenvalue"
"VECM_Canada","trace_r3",6.87956985446165,NA,6.87956985446165,NA,"johansen_trace",9.24,0.539227664627713
"VECM_Canada","trace_r2",17.3915555394996,NA,17.3915555394996,NA,"johansen_trace",19.96,0.262018090942728
"VECM_Canada","trace_r1",42.3061049281814,NA,42.3061049281814,NA,"johansen_trace",34.91,0.120318129246997
"VECM_Canada","trace_r0",105.843903942127,NA,105.843903942127,NA,"johansen_trace",53.12,0.0804742153958684
"VECM_Canada","maxeigen_r3",6.87956985446224,NA,6.87956985446224,NA,"johansen_maxeigen",9.24,0.539227664627713
"VECM_Canada","maxeigen_r2",10.511985685038,NA,10.511985685038,NA,"johansen_maxeigen",15.67,0.262018090942728
"VECM_Canada","maxeigen_r1",24.9145493886818,NA,24.9145493886818,NA,"johansen_maxeigen",22,0.120318129246997
"VECM_Canada","maxeigen_r0",63.5377990139455,NA,63.5377990139455,NA,"johansen_maxeigen",28.14,0.0804742153958684
"VECM_macro_USA","trace_r2",6.02038664553932,NA,6.02038664553932,NA,"johansen_trace",9.24,0.439318511127506
"VECM_macro_USA","trace_r1",18.9305830036586,NA,18.9305830036586,NA,"johansen_trace",19.96,0.288046023512531
"VECM_macro_USA","trace_r0",40.917470050807,NA,40.917470050807,NA,"johansen_trace",34.91,0.146518342172157
"VECM_macro_USA","maxeigen_r2",6.02038664553932,NA,6.02038664553932,NA,"johansen_maxeigen",9.24,0.439318511127506
"VECM_macro_USA","maxeigen_r1",12.9101963581193,NA,12.9101963581193,NA,"johansen_maxeigen",15.67,0.288046023512531
"VECM_macro_USA","maxeigen_r0",21.9868870471484,NA,21.9868870471484,NA,"johansen_maxeigen",22,0.146518342172157
