"model_name","dataset","equation","variable","coefficient","std_error","statistic","p_value"
"VAR2_Canada","Canada","e","e.l1",1.63782060228719,0.150009048168818,10.9181454204283,5.28258779912822e-17
"VAR2_Canada","Canada","e","prod.l1",0.167271668547042,0.0611378252670541,2.73597675115835,0.00780402666727708
"VAR2_Canada","Canada","e","rw.l1",-0.0631186313449101,0.0552387251340057,-1.14265184780764,0.256916974784275
"VAR2_Canada","Canada","e","U.l1",0.265584777211981,0.202797084490694,1.30960845851888,0.194435046906695
"VAR2_Canada","Canada","e","e.l2",-0.497133774748472,0.159526035737515,-3.1163174866732,0.00261834099301167
"VAR2_Canada","Canada","e","prod.l2",-0.10165006721152,0.0660691767832981,-1.53853993890259,0.128240219894665
"VAR2_Canada","Canada","e","rw.l2",0.00384449205421629,0.0555222823122683,0.0692423274784366,0.944986055470555
"VAR2_Canada","Canada","e","U.l2",0.132689312629496,0.207327474498502,0.639998692650138,0.524177093069369
"VAR2_Canada","Canada","e","const",-136.99844936947,55.8480732000202,-2.45305596987759,0.0165535415095421
"VAR2_Canada","Canada","prod","e.l1",-0.172765811981854,0.269767427175109,-0.640425027554235,0.523901521501221
"VAR2_Canada","Canada","prod","prod.l1",1.15042820441233,0.109946660062889,10.4635120680727,3.5680570466206e-16
"VAR2_Canada","Canada","prod","rw.l1",0.05130389578108,0.0993380662149372,0.516457564918509,0.607095896965315
"VAR2_Canada","Canada","prod","U.l1",-0.478501312973126,0.364698319131391,-1.31204693817285,0.193615212560428
"VAR2_Canada","Canada","prod","e.l2",0.385258923082293,0.28688221646419,1.34291671275617,0.183459575360954
"VAR2_Canada","Canada","prod","prod.l2",-0.17241187282319,0.118814911860181,-1.45109624813828,0.151036904190299
"VAR2_Canada","Canada","prod","rw.l2",-0.118851043468287,0.0998479987248138,-1.19031973586017,0.237777302267014
"VAR2_Canada","Canada","prod","U.l2",1.01591800956285,0.372845505393987,2.72476936121123,0.00804806939180166
"VAR2_Canada","Canada","prod","const",-166.775517747189,100.433881847591,-1.66055035092911,0.101093488851432
"VAR2_Canada","Canada","rw","e.l1",-0.268832870818296,0.322619287659298,-0.833282079223352,0.40740382084408
"VAR2_Canada","Canada","rw","prod.l1",-0.0810650014991924,0.131487012800043,-0.61652477893365,0.539466177923609
"VAR2_Canada","Canada","rw","rw.l1",0.895478330073171,0.118800021541934,7.53769501428147,1.03696917772388e-10
"VAR2_Canada","Canada","rw","U.l1",0.0121300325545387,0.436148697271517,0.0278116904404907,0.977888233781631
"VAR2_Canada","Canada","rw","e.l2",0.367848940946191,0.343087144682296,1.07217348900328,0.287173888939234
"VAR2_Canada","Canada","rw","prod.l2",-0.00518094725776422,0.142092700475481,-0.0364617411058229,0.97101370800046
"VAR2_Canada","Canada","rw","rw.l2",0.0526765645451538,0.119409858188313,0.441140834972613,0.66041485269307
"VAR2_Canada","Canada","rw","U.l2",-0.127708256301828,0.445892050855714,-0.286410704242748,0.775374854032227
"VAR2_Canada","Canada","rw","const",-33.1883387735178,120.110525417494,-0.276314991197966,0.783086934735752
"VAR2_Canada","Canada","U","e.l1",-0.580763818865324,0.115628069948523,-5.02268886027308,3.49419159427003e-06
"VAR2_Canada","Canada","U","prod.l1",-0.0781170733055785,0.0471254822477368,-1.65763976472262,0.10168188660899
