entity,time,y,rho,T
1,1,1.714791490447186,0.3,5
1,2,0.7089736051930988,0.3,5
1,3,0.5893012299453085,0.3,5
1,4,1.1349103825184335,0.3,5
1,5,1.1998096419502455,0.3,5
2,1,-0.2241281365097365,0.3,5
2,2,-1.3155964933692208,0.3,5
2,3,-0.6675854870986959,0.3,5
2,4,-0.1648400647872219,0.3,5
2,5,2.259167240039597,0.3,5
3,1,1.5017455777421689,0.3,5
3,2,0.859564442303026,0.3,5
3,3,-1.110241457974739,0.3,5
3,4,0.3249906586131284,0.3,5
3,5,1.874308051776228,0.3,5
4,1,1.345701848978276,0.3,5
4,2,1.2246167810730046,0.3,5
4,3,1.858501570637638,0.3,5
4,4,2.246204831968419,0.3,5
4,5,1.9457913071350947,0.3,5
5,1,-0.9750257057558616,0.3,5
5,2,-2.6493569819554534,0.3,5
5,3,-3.718482292312486,0.3,5
5,4,-3.970425416684053,0.3,5
5,5,-2.887267737985215,0.3,5
6,1,-3.1534496484409815,0.3,5
6,2,-3.3836320617959528,0.3,5
6,3,-3.53345990259467,0.3,5
6,4,-1.395586020172986,0.3,5
6,5,-2.03746622354066,0.3,5
7,1,-0.7849157710608927,0.3,5
7,2,0.7549459548967052,0.3,5
7,3,0.4218118847280439,0.3,5
7,4,0.9289619046656161,0.3,5
7,5,0.5370166685314817,0.3,5
8,1,1.1731020320591243,0.3,5
8,2,0.5519457511858927,0.3,5
8,3,0.47648743750975353,0.3,5
8,4,-0.9735539583772131,0.3,5
8,5,-0.3320598182628664,0.3,5
9,1,-0.47236783612179,0.3,5
9,2,1.7180822348278044,0.3,5
9,3,0.39816877781109294,0.3,5
9,4,0.6330121194157309,0.3,5
9,5,-1.7916568596571247,0.3,5
10,1,-0.8674592337753333,0.3,5
10,2,-0.7437636774368794,0.3,5
10,3,-2.169303675376744,0.3,5
10,4,-0.41411382012600795,0.3,5
10,5,-0.7803644831043838,0.3,5
11,1,1.692052025519056,0.3,5
11,2,0.9700534338126046,0.3,5
11,3,1.069433003863749,0.3,5
11,4,1.2788738002036024,0.3,5
11,5,1.3640696832986507,0.3,5
12,1,1.1335470489248014,0.3,5
12,2,0.49142067007934365,0.3,5
12,3,0.20003960295302015,0.3,5
12,4,0.015291187424262165,0.3,5
12,5,2.5363925683823796,0.3,5
13,1,1.3097998293168378,0.3,5
13,2,0.5063367137057971,0.3,5
13,3,0.8219641866278543,0.3,5
13,4,0.4903757586154779,0.3,5
13,5,0.08147166534337469,0.3,5
14,1,3.092086496017627,0.3,5
14,2,2.6077423191489166,0.3,5
14,3,2.984921734015306,0.3,5
14,4,2.575168474056627,0.3,5
14,5,1.1342463953554964,0.3,5
15,1,1.28528402036121,0.3,5
15,2,0.6083839441702309,0.3,5
15,3,1.6614865163878911,0.3,5
15,4,0.1359358465526429,0.3,5
15,5,0.7768221782978036,0.3,5
16,1,0.0758402154052571,0.3,5
16,2,-2.306797866798974,0.3,5
16,3,-1.5710803209029434,0.3,5
16,4,-2.3382604979821426,0.3,5
16,5,-1.4864225403965765,0.3,5
17,1,-0.6556007605763869,0.3,5
17,2,-0.5669397566485312,0.3,5
17,3,1.3213295416501758,0.3,5
17,4,1.2867719884335185,0.3,5
17,5,0.6241817574892007,0.3,5
18,1,-1.1327854691658263,0.3,5
18,2,-1.2806932257668602,0.3,5
18,3,-2.364070855180656,0.3,5
18,4,-0.8447859056081817,0.3,5
18,5,-2.491307183308062,0.3,5
19,1,3.1456670003134835,0.3,5
19,2,2.562434061220752,0.3,5
19,3,3.430046852098289,0.3,5
19,4,4.057221704679989,0.3,5
19,5,1.939597313901923,0.3,5
20,1,1.6085475700055132,0.3,5
20,2,-1.0531854016962887,0.3,5
20,3,-1.392463608893261,0.3,5
20,4,0.19806162869889649,0.3,5
20,5,-0.5696992946105984,0.3,5
21,1,-1.9583342187204509,0.3,5
21,2,-0.5072791785397266,0.3,5
