"model_name","variable","coefficient","std_error","statistic","p_value","expected_i","variance_i","rho","log_likelihood","aic"
"moran_i_test","CRIME",0.485770913661773,0.0948215235153869,5.34271363940803,4.57826774130196e-08,-0.0208333333333333,0.00899112132177907,NA,NA,NA
"ols_baseline","(Intercept)",68.6189610950255,4.73548613376534,14.4903731436891,9.21088998891681e-19,NA,NA,NA,-187.377238812149,382.754477624298
"ols_baseline","INC",-1.5973108340847,0.33413076178008,-4.78049619129659,1.82895950708421e-05,NA,NA,NA,-187.377238812149,382.754477624298
"ols_baseline","HOVAL",-0.273931478171675,0.103198683790906,-2.65440864271773,0.0108745049097535,NA,NA,NA,-187.377238812149,382.754477624298
"sar_ml","rho",0.403889687619813,0.120713133599414,3.34586366517598,0.000820267163205531,NA,NA,0.403889687619813,-183.16828003635,376.3365600727
"sar_ml","(Intercept)",46.8514310099777,7.31475362812322,6.40505933512878,1.50310913179028e-10,NA,NA,0.403889687619813,-183.16828003635,376.3365600727
"sar_ml","INC",-1.07353346541916,0.310872193544107,-3.45329523744247,0.000553782548362152,NA,NA,0.403889687619813,-183.16828003635,376.3365600727
"sar_ml","HOVAL",-0.269997123639544,0.0901280214085274,-2.9957067671076,0.00273809597695751,NA,NA,0.403889687619813,-183.16828003635,376.3365600727
"sar_ml","rho",0.403889687619813,0.120713133599414,3.34586366517598,0.000820267163205531,NA,NA,0.403889687619813,-183.16828003635,376.3365600727
"lm_test_error","RS_error",NA,NA,4.61112584434427,0.0317651720089892,NA,NA,NA,NA,NA
"lm_test_lag","RS_lag",NA,NA,7.85567540711146,0.00506614233414915,NA,NA,NA,NA,NA
"rlm_test_error","adjRS_error",NA,NA,0.0335141070581876,0.854744204197924,NA,NA,NA,NA,NA
"rlm_test_lag","adjRS_lag",NA,NA,3.27806366982538,0.07021172014994,NA,NA,NA,NA,NA
