"model_name","variable","effect_type","effect_value","std_error","z_value","p_value"
"sar_ml","INC","direct",-1.12251556757054,0.310063382337121,-3.64096774655688,0.000271615165225336
"sar_ml","HOVAL","direct",-0.282316280067079,0.09083815051565,-3.0963322292084,0.00195930701285718
"sar_ml","INC","indirect",-0.678381754827197,0.342179690230401,-2.08619297278032,0.0369611465374673
"sar_ml","HOVAL","indirect",-0.170615195923468,0.115507599228461,-1.60615551528344,0.108239744680981
"sar_ml","INC","total",-1.80089732239774,0.531446137797904,-3.46748900518939,0.000525345232945451
"sar_ml","HOVAL","total",-0.452931475990547,0.182899725873893,-2.55215396529943,0.0107059196895443
"sdm_ml","INC","direct",-1.0418079758865,0.316183009079976,-3.33035272067689,0.000867360349192881
"sdm_ml","HOVAL","direct",-0.283632494892098,0.0934176171357071,-3.03130384985064,0.00243500073068392
"sdm_ml","INC","indirect",-1.48042458147915,0.947898413595255,-1.6395389252066,0.101101070880828
"sdm_ml","HOVAL","indirect",0.230205524293163,0.332436030513067,0.742821313320859,0.4575898699401
"sdm_ml","INC","total",-2.52223255736565,1.00921018991282,-2.58332438258231,0.00978532709606239
"sdm_ml","HOVAL","total",-0.053426970598935,0.365931712428655,-0.0990256172277428,0.92111793045962
