"model_name","variable","coefficient","std_error","z_statistic","p_value","n_obs","n_groups","n_instruments","ar1_statistic","ar1_pvalue","ar2_statistic","ar2_pvalue","sargan_statistic","sargan_pvalue","sargan_df","hansen_statistic","hansen_pvalue","hansen_df","std_error_robust","std_error_conventional","instrument_ratio"
"diff_gmm_onestep_twoways","lag(n, 1)",0.520945355138235,0.132739763134577,3.92456143386423,8.68878846205195e-05,980,140,37,-4.33354215486792,1.46729168683954e-05,-1.82548362071494,0.0679280806881378,26.5752831057864,0.486879616964446,27,NA,NA,NA,0.132739763134577,NA,0.264285714285714
"diff_gmm_onestep_twoways","w",0.309706519585486,0.135809153241634,2.28045394727152,0.0225807791702367,980,140,37,-4.33354215486792,1.46729168683954e-05,-1.82548362071494,0.0679280806881378,26.5752831057864,0.486879616964446,27,NA,NA,NA,0.135809153241634,NA,0.264285714285714
"diff_gmm_onestep_twoways","k",0.176223596164151,0.210406729785572,0.837537831340959,0.402290321195971,980,140,37,-4.33354215486792,1.46729168683954e-05,-1.82548362071494,0.0679280806881378,26.5752831057864,0.486879616964446,27,NA,NA,NA,0.210406729785572,NA,0.264285714285714
"diff_gmm_twostep_twoways","lag(n, 1)",0.484415081137764,0.155376176269973,3.11769212479572,0.00182273101587547,980,140,37,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27,0.155376176269973,NA,0.264285714285714
"diff_gmm_twostep_twoways","w",0.258470257507436,0.153102284658004,1.68821946768985,0.0913691075195583,980,140,37,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27,0.153102284658004,NA,0.264285714285714
"diff_gmm_twostep_twoways","k",-0.0238478595782931,0.225261092192417,-0.105867637176874,0.915687371521733,980,140,37,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27,0.225261092192417,NA,0.264285714285714
"diff_gmm_onestep_individual","lag(n, 1)",0.519907540538169,0.137218952338926,3.78889017643872,0.00015132178625873,980,140,30,-4.25153272384656,2.12312480259643e-05,-1.7616066168213,0.0781357852070801,32.5157630129774,0.213521037189425,27,NA,NA,NA,0.137218952338926,NA,0.214285714285714
"diff_gmm_onestep_individual","w",0.307468115869374,0.134932172320387,2.27868647322532,0.0226857094088948,980,140,30,-4.25153272384656,2.12312480259643e-05,-1.7616066168213,0.0781357852070801,32.5157630129774,0.213521037189425,27,NA,NA,NA,0.134932172320387,NA,0.214285714285714
"diff_gmm_onestep_individual","k",0.18130808683554,0.210385382927995,0.861790321704968,0.388802911726375,980,140,30,-4.25153272384656,2.12312480259643e-05,-1.7616066168213,0.0781357852070801,32.5157630129774,0.213521037189425,27,NA,NA,NA,0.210385382927995,NA,0.214285714285714
"diff_gmm_twostep_individual","lag(n, 1)",0.422589701094548,0.158464850712033,2.66677246844154,0.00765835004423464,980,140,30,-3.14458092415169,0.0016632490295396,-1.78628468312895,0.0740531756415565,NA,NA,NA,30.1349886084229,0.308122709668359,27,0.158464850712033,NA,0.214285714285714
