"model_name","variable","coefficient","std_error_robust","std_error_conventional","z_statistic","p_value","n_obs","n_groups","n_instruments","instrument_ratio","ar1_statistic","ar1_pvalue","ar2_statistic","ar2_pvalue","sargan_statistic","sargan_pvalue","sargan_df","hansen_statistic","hansen_pvalue","hansen_df"
"diff_twostep_full_instruments","lag(n, 1)",0.484415081137764,0.155376176269973,0.110702268008569,3.11769212479572,0.00182273101587547,980,140,37,0.264,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27
"diff_twostep_full_instruments","w",0.258470257507436,0.153102284658004,0.122634322204461,1.68821946768985,0.0913691075195583,980,140,37,0.264,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27
"diff_twostep_full_instruments","k",-0.0238478595782931,0.225261092192417,0.184671970229585,-0.105867637176874,0.915687371521733,980,140,37,0.264,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27
"diff_twostep_restricted_instruments","lag(n, 1)",0.20031159796555,0.193108086979645,0.152454770697473,1.03730300008961,0.299594668057115,980,140,27,0.193,-1.72226356899702,0.0850217839711279,-2.62063607867373,0.00877658954299771,NA,NA,NA,14.8295145057775,0.607760102115816,17
"diff_twostep_restricted_instruments","w",0.374327036379128,0.141139431737422,0.120199981951456,2.65217899612584,0.00799741325599501,980,140,27,0.193,-1.72226356899702,0.0850217839711279,-2.62063607867373,0.00877658954299771,NA,NA,NA,14.8295145057775,0.607760102115816,17
"diff_twostep_restricted_instruments","k",-0.0586700033065735,0.210653830622915,0.176026432627227,-0.278513821149528,0.780617956856964,980,140,27,0.193,-1.72226356899702,0.0850217839711279,-2.62063607867373,0.00877658954299771,NA,NA,NA,14.8295145057775,0.607760102115816,17
"diff_twostep_minimal_instruments","lag(n, 1)",0.503157802828558,0.339921949180825,0.337698163412901,1.48021569081112,0.138815694315715,980,140,16,0.114,-1.7081879702173,0.0876014699382227,-1.8421531716663,0.0654527479955378,NA,NA,NA,3.66073885588009,0.722475663656905,6
"diff_twostep_minimal_instruments","w",0.311717558787942,0.161605904913163,0.155812439466636,1.92887480785704,0.053746405977314,980,140,16,0.114,-1.7081879702173,0.0876014699382227,-1.8421531716663,0.0654527479955378,NA,NA,NA,3.66073885588009,0.722475663656905,6
"diff_twostep_minimal_instruments","k",0.116639151043012,0.282790467864442,0.271216989867387,0.412457859431543,0.680003861976316,980,140,16,0.114,-1.7081879702173,0.0876014699382227,-1.8421531716663,0.0654527479955378,NA,NA,NA,3.66073885588009,0.722475663656905,6
"diff_gmm_twostep_twoways","lag(n, 1)",0.484415081137764,0.155376176269973,0.110702268008569,3.11769212479572,0.00182273101587547,980,140,37,0.264,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27
"diff_gmm_twostep_twoways","w",0.258470257507436,0.153102284658004,0.122634322204461,1.68821946768985,0.0913691075195583,980,140,37,0.264,-3.45088464199798,0.000558752339839747,-1.83004518655322,0.0672431822592292,NA,NA,NA,22.5791674909166,0.707400211073568,27
