firm_id,year,patents,rd_intensity,firm_size,firm_age,industry,export_share,capital_intensity,hhi,subsidy
1,2012,2,3.794466013419582,5.495444549798271,16,5,25.749013501924388,22.33156079360849,0.24543206406427104,0
1,2013,0,9.73135587765912,5.081548207882368,16,5,16.780871597386575,83.37468075696617,0.0498374004944595,1
1,2014,3,8.45731127502732,2.53440340034362,16,5,39.34898233969501,41.2426262265055,0.19468567020776695,1
1,2015,3,5.257409424242718,6.563709512178532,16,5,31.05405913412354,85.16511648919935,0.43685084732252494,0
1,2016,1,2.0678874559900455,4.907352706463365,16,5,43.2103273002657,74.39916275025591,0.07339271155011134,1
1,2017,1,3.7843779902884283,5.266604860182333,16,5,17.140939455572614,17.022258660004187,0.053293725669455616,0
1,2018,0,5.866383858258207,6.1109114229199015,16,5,21.898035925897837,26.535277240270695,0.0854761300730852,0
1,2019,0,8.634747658032579,4.785989432024469,16,5,50.14986054637398,46.19631991269245,0.5351879282890324,1
2,2012,7,4.135601712570699,4.737555342979038,19,7,20.585530116741406,11.27449068292218,0.15106565725729618,1
2,2013,35,15.902883792412421,7.094247687369145,19,7,7.637583652292085,35.31491870889312,0.5149110220334171,0
2,2014,7,5.166191902771429,4.4169935847974005,19,7,45.913129426555294,47.09421842258717,0.49244259883504515,0
2,2015,0,6.186668194267922,4.866775223348309,19,7,57.47724367684586,17.410841787732533,0.33358760835337486,1
2,2016,0,6.288843989562485,6.7495151101191135,19,7,51.42727470194994,53.28360100459144,0.19958375149617397,0
2,2017,35,11.685759520645554,6.768930180437376,19,7,45.20554066934645,28.814586535124427,0.6289751503793864,1
2,2018,0,4.381834190880464,4.421432574261818,19,7,65.47767607188091,40.90008238649421,0.3816898832989225,0
2,2019,12,5.442601445101397,4.838803794406919,19,7,25.398384536556957,42.800847169198875,0.4410186796096804,1
3,2012,18,7.334725828407445,6.911902317743671,26,5,39.944605710251,25.10586884978527,0.3323025001699353,1
3,2013,2,2.7859232443110438,5.610443386858862,26,5,70.19163135567213,20.16330704603011,0.431007148401955,0
3,2014,9,5.159814854683246,6.055229750676259,26,5,48.41152003672272,31.84648448943548,0.5490690606364622,0
3,2015,11,3.2153398974328677,6.074291455798418,26,5,85.11171855458932,9.78691449325519,0.1719962448066157,1
3,2016,0,1.3466684388465209,5.957120120165724,26,5,28.740333418659276,24.175563449841786,0.7354205190320565,0
3,2017,0,14.675531633910985,7.4118351884725,26,5,34.817873947943504,17.001257860411947,0.09179277577381088,0
3,2018,30,7.402097273695579,6.4896883455319765,26,5,40.81814831493695,103.76554905203967,0.1410654862161333,1
3,2019,0,2.0883003257996156,6.780572799848564,26,5,14.635538983781826,32.90419376605105,0.13241656588496148,0
4,2012,0,4.878825370054278,4.787457355621921,5,2,15.169723689206116,42.07743670989249,0.49098591812428966,0
4,2013,0,3.036119160854489,4.624251024097299,5,2,23.05196091493078,52.83905129724162,0.25695276229083186,0
4,2014,10,4.198663100713868,6.298079350814038,5,2,24.810149171664676,33.76068445581382,0.3632395212996004,1
4,2015,35,11.270117530954952,4.2445231505493854,5,2,68.48703560748778,90.59156001340074,0.14128601030667845,0
4,2016,11,7.762542640315224,5.254520958389405,5,2,42.817972291680626,39.69647299193955,0.173314055309473,0
4,2017,4,3.6119908172797235,6.251948638277576,5,2,34.25093324386126,10.715206786218063,0.26892123540879925,0
4,2018,0,2.7669178284699236,6.986844627960765,5,2,24.632663706924163,11.789047865964594,0.4569487917065786,0
4,2019,9,7.641709344731193,5.238763934980514,5,2,60.46538989893819,54.74719666569023,0.11521827042174146,0
5,2012,0,13.14340628687276,3.9531270842769306,40,7,4.234601397347956,38.10978356672852,0.243118552107155,0
5,2013,0,2.120111404125066,4.725984530234765,40,7,18.59540710909878,32.63036101852967,0.33028532290423557,0
5,2014,4,4.905378481679934,6.007306198377608,40,7,36.34279116462711,31.80331953572024,0.06519259463075579,1
