"model_name","variable","coefficient","std_error","statistic","p_value"
"ols","(Intercept)",-0.129068938621044,3.54962470717514,-0.036361291479673,0.971009026581871
"ols","wage",0.219277195281073,0.133633696687817,1.6408825073015,0.101460890285863
"ols","education",0.719640958367533,0.179851266870148,4.00131158868684,7.26884948251752e-05
"ols","experience",1.14875220083844,0.210743484287755,5.45095002448523,7.93837160453611e-08
"ols","experience_sq",-0.020355704861012,0.00431889039836012,-4.71317930844947,3.17930861280956e-06
"ols","children",-2.20852762853348,0.607797108757226,-3.63365931938915,0.000308805279943243
"ols","married",0.0135353093589221,1.06711427128974,0.0126840299329545,0.989885021289375
"ols","non_labor_income",-0.185052527183117,0.0400562794872289,-4.6198131616821,4.91128367107012e-06
"tobit_aer","(Intercept)",-1.97226002474773,3.78580569890951,-0.520961766557602,0.60239340590458
"tobit_aer","wage",0.219369143453335,0.142172989540056,1.54297341684251,0.122837225934039
"tobit_aer","education",0.741046158931218,0.191149907521059,3.87678010699313,0.000105847938529688
"tobit_aer","experience",1.31798367537915,0.228088558209288,5.77838575387811,7.54207296531817e-09
"tobit_aer","experience_sq",-0.0238101968560466,0.0046865004977315,-5.08059198277518,3.76260490901787e-07
"tobit_aer","children",-2.53229100499744,0.649534219428165,-3.89862601423342,9.6740052672637e-05
"tobit_aer","married",-0.0822282302947221,1.13482669334473,-0.0724588439600119,0.942236757099898
"tobit_aer","non_labor_income",-0.198001027405825,0.042636381153196,-4.64394542994611,3.41817881811626e-06
"tobit_aer","Log(scale)",2.51752803831684,0.0334455908262588,75.2723446087334,0
"tobit_censreg","(Intercept)",-1.97226002475789,3.78580570011023,-0.520961766395054,0.602393406017817
"tobit_censreg","wage",0.219369143453268,0.142172989552999,1.54297341670158,0.122837225968235
"tobit_censreg","education",0.741046158931534,0.191149907642768,3.87678010452636,0.000105847939602367
"tobit_censreg","experience",1.31798367537967,0.228088558169035,5.77838575490017,7.54207291951182e-09
"tobit_censreg","experience_sq",-0.0238101968560558,0.00468650049773165,-5.08059198277699,3.76260490898196e-07
"tobit_censreg","children",-2.5322910049984,0.649534219519909,-3.89862601368424,9.6740052892006e-05
"tobit_censreg","married",-0.0822282302949313,1.13482669295367,-0.0724588439851657,0.94223675707988
"tobit_censreg","non_labor_income",-0.198001027405805,0.0426363811608156,-4.64394542911572,3.41817883186228e-06
"tobit_censreg","logSigma",2.51752803831672,0.0334455908252617,75.2723446109739,0
"tobit_aer","_sigma",12.3979115906374,NA,NA,NA
"tobit_aer","_log_likelihood",-1864.27894919502,NA,NA,NA
"tobit_aer","_n_censored",37,NA,NA,NA
"tobit_aer","_n_uncensored",463,NA,NA,NA
"tobit_censreg","_sigma",12.3979115906359,NA,NA,NA
"tobit_censreg","_log_likelihood",-1864.27894919503,NA,NA,NA
"tobit_censreg","_n_censored",37,NA,NA,NA
"tobit_censreg","_n_uncensored",463,NA,NA,NA
"ols","_r_squared",0.182410394784133,NA,NA,NA
"ols","_r_squared_adj",0.1707780223522,NA,NA,NA
