country,quarter,gdp_growth,inflation,interest_rate,unemployment
USA,2000-Q1,0.7774944016309582,1.1244650612139213,4.520071030592424,12.833277971255297
USA,2000-Q2,2.3284015470538204,6.3430458251573985,4.925162408343976,13.702253719581693
USA,2000-Q3,3.4256074533716276,5.260015939535994,5.008513746112389,12.793951628050342
USA,2000-Q4,1.7370646301096615,3.534351689123631,4.583417061450311,11.899899221345448
USA,2001-Q1,4.906791930047168,0.8939316722204846,4.985051581109628,8.580464452726154
USA,2001-Q2,2.701575331245415,3.1518697506952953,4.376228271028748,8.616977928348906
USA,2001-Q3,1.6127437711051922,3.5316705495696574,3.6307572938562718,11.02514572987154
USA,2001-Q4,2.220910220230575,2.0836699665823883,5.98540158018793,12.26461142912274
USA,2002-Q1,-0.4251167171166963,2.188134871944631,4.401291465926796,13.555478811073932
USA,2002-Q2,0.26373631206224124,1.759696568971103,4.602313559110294,14.171793238329947
USA,2002-Q3,0.009703050931903823,1.2966139600975386,3.6401810872858236,12.244968784366895
USA,2002-Q4,3.68469751240556,2.3040362979717406,2.262646733508014,12.86168623381821
USA,2003-Q1,5.798194342183987,3.9835888705406375,1.4434978451183036,10.105818232391066
USA,2003-Q2,5.719008421245855,2.809430939495357,3.066278037018512,10.707368459218282
USA,2003-Q3,2.7570207504085857,2.735575900178128,0.20382751879208483,9.256954404600963
USA,2003-Q4,2.8275150529138586,1.0370239609095682,3.2011634266057145,8.708775260797193
USA,2004-Q1,2.1765017075732755,1.8517133477874175,4.608231212938344,8.634819793183947
USA,2004-Q2,3.6685572697938067,2.243457659993494,3.1927836900662228,10.810993453527146
USA,2004-Q3,3.2969151243268318,1.7265594111596614,3.4064991210646234,10.246250066927283
USA,2004-Q4,3.011433396646358,2.958773315188436,5.066757077653192,9.072455425373349
USA,2005-Q1,5.121593911792784,0.6079695922196762,4.317612932412142,10.490710741356452
USA,2005-Q2,3.809751402431382,1.0367561643750105,3.475522347830604,9.610730600759737
USA,2005-Q3,2.345363174016453,2.8075239500451166,3.766273452595093,9.759059080636915
USA,2005-Q4,3.5395970141235678,3.0679761564279158,4.6939127467800965,11.432664339465877
USA,2006-Q1,1.7610569342612545,2.04880006243675,5.150165168671592,12.190386892892615
USA,2006-Q2,1.9709113070571276,2.2859445020611515,5.815859410739474,10.95353850722849
USA,2006-Q3,2.6506527516165677,2.1056985861144435,4.742817194327699,12.637033450490915
USA,2006-Q4,3.424375390348196,3.3553774052794583,5.680472360425467,11.42907068925132
USA,2007-Q1,3.4175101348640853,2.6705780893802666,5.403713694789101,10.68066785041451
USA,2007-Q2,2.7398547390626433,3.359204233189754,4.055094385805716,13.743239857085689
USA,2007-Q3,1.320175537896509,1.295781753765409,5.168126700823592,13.369528663200779
USA,2007-Q4,2.581851183768413,2.5670755067061393,4.444011494036819,10.793808888304167
USA,2008-Q1,2.523592421942578,1.6708366977768891,5.11495985811424,10.876499581213684
USA,2008-Q2,-2.2861552141487973,1.6105667441389024,4.685891341421758,10.701736386953705
USA,2008-Q3,-0.25699354577440237,2.0349739832048765,3.8764610696282116,11.717243137396755
USA,2008-Q4,0.9080759234886456,2.3350245593100185,2.0940101333312944,10.214120307610262
USA,2009-Q1,1.1554371863096453,1.9401120314696438,3.027223689228002,13.616774037787884
USA,2009-Q2,3.0976816441014194,2.052753508211656,3.084803092779667,10.47198364380225
USA,2009-Q3,2.6997727587680367,1.9307544461784252,3.4490455688421173,9.841266093321297
USA,2009-Q4,3.190106098968386,4.147499011203177,3.354518126063228,11.32150225384778
USA,2010-Q1,3.578468298038749,2.7228977903049456,3.670452291480922,10.93055128487868
USA,2010-Q2,2.9634983208652774,1.6468486132065348,3.4342245543164203,11.616558835103174
USA,2010-Q3,4.424809438372167,3.4624128129775764,5.51231203333264,9.754388169106349
USA,2010-Q4,4.061110865911311,3.2452616718703817,6.587459092611764,9.1174702166896
USA,2011-Q1,1.7509893551685827,1.9766898072138104,2.6790353578083455,10.010705961577088
USA,2011-Q2,1.353821910855566,2.277319169609549,3.3219111698884873,13.973192411446341
USA,2011-Q3,3.2571537957900114,1.7008007451640985,2.334280816606712,12.522616287264102
USA,2011-Q4,1.2213548129735337,4.222106733254662,4.141578786542929,11.344637933085666
