country,quarter,oil_price,gas_price,electricity_price
USA,2005-Q1,4.131605366855977,1.643996377679391,4.475971767743652
USA,2005-Q2,4.487630795913641,1.823125944245632,4.40939639698769
USA,2005-Q3,4.49500441575182,1.5921698985853732,4.742937511632043
USA,2005-Q4,4.6005743437132605,1.5517808400203754,4.844283694688157
USA,2006-Q1,4.525310362872087,1.89230509745385,5.017286973409448
USA,2006-Q2,4.340991767695392,1.6234119825249718,4.770049578033584
USA,2006-Q3,4.097884317279193,1.5498593057143597,4.759541993625254
USA,2006-Q4,4.146209318846944,1.7317338751419664,4.666232615839068
USA,2007-Q1,4.41540547550983,1.668522253496326,5.062061274789261
USA,2007-Q2,4.438269439295388,1.5183922296989942,4.695372366430037
USA,2007-Q3,4.425635227440914,1.587736965563322,4.765872681204347
USA,2007-Q4,4.414944321008854,1.6531385332880708,4.5894159356036255
USA,2008-Q1,4.009843716654531,1.4492203594766715,4.774982333687007
USA,2008-Q2,4.0720614873697185,1.1660300088617719,4.661097691467163
USA,2008-Q3,4.1498586539900755,1.1402420019365198,4.548216555559253
USA,2008-Q4,4.138894938367758,1.0661036920805032,4.533255576901292
USA,2009-Q1,4.231735499016583,1.5828235552258114,4.606071578071286
USA,2009-Q2,3.9090331126056954,1.2543780227222885,4.697468870984752
USA,2009-Q3,4.061432505891934,1.4718251342205815,5.091667693011056
USA,2009-Q4,4.179532993148492,1.7754590333160887,4.909006649644187
USA,2010-Q1,4.27830348235061,1.6296102947177706,4.89607898905551
USA,2010-Q2,4.062599531623418,1.499990243845618,4.6883475613839956
USA,2010-Q3,4.0825466368991625,2.0294709117687466,4.35584917773573
USA,2010-Q4,4.217386820789822,1.4269129403986711,4.554544633264282
USA,2011-Q1,4.392313030831854,1.5875352314760987,4.411192457361355
USA,2011-Q2,4.15391051661581,1.731518264110262,4.460626469338271
USA,2011-Q3,4.1733812164329676,1.652308721974027,4.50369481559077
USA,2011-Q4,4.572507806253649,1.897662824755146,4.308818632243492
USA,2012-Q1,4.460398464216945,1.6934694452727679,4.739070033069754
USA,2012-Q2,4.186126914150827,1.6136274977633065,4.799775021893225
USA,2012-Q3,4.325792015625109,1.3596240350893292,4.657947771226949
USA,2012-Q4,4.155417485590891,1.3038087365087851,4.848661066910516
USA,2013-Q1,4.21214071899132,1.1474847524588472,4.774087455891029
USA,2013-Q2,4.595281879581956,1.7484044904467904,4.366172696208236
USA,2013-Q3,4.342202638019624,2.0270590542355142,4.506342628507079
USA,2013-Q4,4.350657869128488,2.0436316586054364,4.575758129384844
USA,2014-Q1,4.255907574063087,1.0790850560657126,4.594730478817344
USA,2014-Q2,4.150973808451035,1.0200113001785418,4.727435848538233
USA,2014-Q3,3.842005527209103,1.061202102772186,4.542887870109512
USA,2014-Q4,4.2000106637451005,0.9674228854151384,4.594476236863025
USA,2015-Q1,4.164406213710993,1.0289424267330312,4.528322397575221
USA,2015-Q2,4.177248425597894,1.1519918166946694,4.458200507661358
USA,2015-Q3,4.06936331543168,1.3412024106103573,4.545966232844523
USA,2015-Q4,4.3881098209167515,1.2325436633614424,4.825603715126333
USA,2016-Q1,3.9036114516227314,1.267610558575971,4.723712816270795
USA,2016-Q2,4.011078526568424,1.1938547756258078,4.530639795455329
USA,2016-Q3,3.931506918551636,1.1401295987207982,4.595303160617633
USA,2016-Q4,4.04581007706466,1.1276637703671553,4.606850805286533
USA,2017-Q1,4.115879095006089,1.5039167405369298,4.5816040522132635
USA,2017-Q2,3.937668501205353,1.3087295852790544,4.689215805713578
USA,2017-Q3,4.100794140815946,1.3894556463127334,4.576551981446465
USA,2017-Q4,4.348441014614353,1.3944459362317987,4.628759186926743
USA,2018-Q1,4.225822316628773,1.4498538512523476,4.753673587949704
USA,2018-Q2,4.345511028323252,1.7572404115522562,4.834461528152108
USA,2018-Q3,4.268410625038333,1.8569879235973459,4.727091286517867
USA,2018-Q4,4.275072844910027,1.7162497842071636,4.758965673978565
USA,2019-Q1,4.3339345334099075,1.5070124043363078,5.019388061484778
USA,2019-Q2,4.0549028339725,1.2098660003026889,4.945007204471966
USA,2019-Q3,4.219116659458843,1.5392362216617976,4.738144954416918
USA,2019-Q4,4.1732844439373125,1.3386163665219657,4.67602290160626
GBR,2005-Q1,3.7702980023576718,1.2992964690184845,4.568156039138584
GBR,2005-Q2,3.9850642760222152,1.521645973195248,4.615990036534773
GBR,2005-Q3,3.9745463777270293,1.4387587024422865,4.718294204351785
GBR,2005-Q4,4.059492196127807,1.3869595488446365,4.495122037236653
GBR,2006-Q1,3.836048609594468,1.2018532706792195,4.559297202718736
GBR,2006-Q2,4.236645077792109,1.2432400722787214,4.464980928801075
GBR,2006-Q3,4.005050763612066,1.4089606920021767,4.314267741288384
GBR,2006-Q4,3.8002651035744375,1.5318276051256405,4.238516249560371
GBR,2007-Q1,3.883804660640029,1.5921130609831564,4.302175550716564
GBR,2007-Q2,3.7066782530216558,1.437718045498474,4.491685399354126
GBR,2007-Q3,3.8643859376219902,1.3172346512923903,4.41839720188208
GBR,2007-Q4,4.024875303991705,1.1610488383946433,4.43752686878153
GBR,2008-Q1,3.8544156839869794,1.550608310960296,4.237397338543322
GBR,2008-Q2,3.5066422816399365,1.096679875899547,4.352430816039218
GBR,2008-Q3,3.676121820474207,1.0860940645267203,4.333695131269447
GBR,2008-Q4,3.410508984860108,1.18633090769368,4.078928193402787
GBR,2009-Q1,3.4265167908235985,1.2574779021252103,4.025102073839047
GBR,2009-Q2,3.491178367712509,1.5415561400037787,4.063055149670706
GBR,2009-Q3,3.78049100279374,1.2935518419302368,4.312232553133116
GBR,2009-Q4,4.104185149069153,0.9873003547754946,4.1912100703191335
GBR,2010-Q1,4.15787175276647,1.3978510498960444,4.263793580614159
GBR,2010-Q2,3.959240912575319,1.600120761967133,4.326329280343565
GBR,2010-Q3,4.1745527741166395,1.811080620465948,4.451808216338407
GBR,2010-Q4,4.009339271639109,1.6916865356198407,4.467353749602176
GBR,2011-Q1,4.054955641604991,1.6572455537045032,4.52935541028717
GBR,2011-Q2,4.423076831834536,2.079156507333951,4.463020422728705
