country,quarter,interest_domestic,interest_foreign,forward_rate,spot_rate
USA,2005-Q1,3.496714153011233,2.389388559063052,0.18033404761681462,0.17756573363194417
USA,2005-Q2,3.485006484275066,2.42188959195882,0.19584335381211096,0.19430287550794959
USA,2005-Q3,3.473299636427607,2.4761391931016528,0.24844863755061547,0.24311198802414916
USA,2005-Q4,3.5522602772029765,2.4732587882384394,0.2352133898386129,0.2283012615215354
USA,2006-Q1,3.590632013660622,2.5134001041541203,0.2270437481264949,0.22197530692947998
USA,2006-Q2,3.567158294363874,2.5278655451560255,0.22887658243902204,0.2289683342312328
USA,2006-Q3,3.5942862965431726,2.5020607549718203,0.21730665949700814,0.22389882114890883
USA,2006-Q4,3.571115411902549,2.516516579192157,0.19222970327023817,0.1978855525275862
USA,2007-Q1,3.5478289242240364,2.578038041850796,0.2055732580808266,0.20425681202370674
USA,2007-Q2,3.559927037802338,2.576605000286398,0.1908192913168969,0.18801073774918464
USA,2007-Q3,3.464263025569448,2.639190746518958,0.19854423467400414,0.2024825863618883
USA,2007-Q4,3.3780171339437968,2.534400942355368,0.18816837573485748,0.18909410167721225
USA,2008-Q1,3.349902757481748,2.5672770425303773,0.22700334278972384,0.22509278977756303
USA,2008-Q2,3.299261201465027,2.570758925259904,0.21179978511145398,0.21442772393083828
USA,2008-Q3,3.3149735680947905,2.5587986312412694,0.2127535800471531,0.21298649360672478
USA,2008-Q4,3.26957236431873,2.5624690623026893,0.2349354617152797,0.23425683795411817
USA,2009-Q1,3.1989571792519653,2.4829663057186537,0.21000673989909818,0.21463955162543907
USA,2009-Q2,3.272239617698043,2.474179430205153,0.22379802479638208,0.22418875031752167
USA,2009-Q3,3.260950802673716,2.488463933065623,0.25851592581561494,0.25533160540317024
USA,2009-Q4,3.2643272129081122,2.5475796948552833,0.23620358282793008,0.2281819407119457
USA,2010-Q1,3.1930898035974393,2.5268488861243377,0.24785858309500305,0.2368746178825918
USA,2010-Q2,3.16587066737118,2.49450914200861,0.24791926663835478,0.24707227376756027
USA,2010-Q3,3.1714167968566733,2.4744388602652285,0.2642216337323117,0.26770873120310645
USA,2010-Q4,3.113867117985558,2.5110549449733113,0.24865272125114105,0.24796971698554482
USA,2011-Q1,3.1326520189028417,2.5242049893596987,0.23011501504377085,0.2265605847238593
USA,2011-Q2,3.1026200844069014,2.503014581209017,0.2473953215106571,0.24199941603619723
USA,2011-Q3,3.0880353969172374,2.5235452785335513,0.2761469718657961,0.25293910950086096
USA,2011-Q4,3.0579500663057675,2.527428380507473,0.28129753737057445,0.2629489665077785
USA,2012-Q1,3.1505639755312145,2.5661741801287885,0.29308120670852217,0.274877930697718
USA,2012-Q2,3.149889114294318,2.5380920563736944,0.28345943371790955,0.2662774362661482
USA,2012-Q3,3.097003567846523,2.5249855705097835,0.29078363958376297,0.27592251020936825
USA,2012-Q4,3.1381308134516823,2.5093012443844973,0.29550989222249247,0.28678395967534187
USA,2013-Q1,3.0770886309531313,2.4507606464592127,0.28750760548442933,0.2774969313148145
USA,2013-Q2,3.087531810703369,2.4626054575417955,0.3229997665833728,0.31981242153770967
USA,2013-Q3,2.9895483045093805,2.473047668428991,0.33545250746823985,0.3342890799559454
USA,2013-Q4,2.9231390020644588,2.4732522066946894,0.3140778236105321,0.3154630100118925
USA,2014-Q1,2.932982063857915,2.4638687213596837,0.33354479903438616,0.3335940821845691
USA,2014-Q2,2.9699053928576853,2.407253891677667,0.33128602713716176,0.3191004487800227
USA,2014-Q3,2.978473806917184,2.390428078767053,0.3389822464550112,0.33984214085487174
USA,2014-Q4,2.972691392797772,2.3767194981059823,0.37142077745546853,0.36801405243501983
USA,2015-Q1,2.9576362080183074,2.3446284073371175,0.35131526314815786,0.35660040606798565
USA,2015-Q2,2.883710108499936,2.3381769788704774,0.3754406215740036,0.3808679286528721
USA,2015-Q3,2.8477178980802007,2.354339013143059,0.3963875064518694,0.3941235471916021
USA,2015-Q4,2.824685959532211,2.4297864491914805,0.41754323209397187,0.4155647503914919
USA,2016-Q1,2.8775420708431567,2.4367695617047542,0.45485811883007865,0.4585006100445708
USA,2016-Q2,2.8947229853215797,2.4470715773336646,0.4530515830814136,0.4585928477245134
USA,2016-Q3,2.806570977553443,2.444093740703018,0.4484930507181678,0.4485181244373636
USA,2016-Q4,2.8227751760231827,2.3673428920910564,0.4326092599687385,0.43572783584485314
USA,2017-Q1,2.8035210620023667,2.3662823370730877,0.4238198681249133,0.4244116301455444
USA,2017-Q2,2.769674961987069,2.3686915454707287,0.4280047554566519,0.4278695959572623
USA,2017-Q3,2.8002587764291125,2.46722122997014,0.43670348320447777,0.4396926354535952
USA,2017-Q4,2.85180875255391,2.459526791378895,0.4594427418148376,0.4502264514401956
USA,2018-Q1,2.89837275850972,2.4715886850722395,0.4813598022727077,0.47177011642091604
USA,2018-Q2,2.856411882348588,2.47020021428403,0.4734097421796762,0.47703015425847417
USA,2018-Q3,2.8409512635560272,2.4234530927792486,0.510095990990586,0.5111008358016205
USA,2018-Q4,2.8575144351262054,2.4691660053598494,0.5071380542327505,0.5108076991368613
USA,2019-Q1,2.9062916914823234,2.49924332666732,0.57247453466863,0.5702110824686537
