"model_name","variable","coefficient","std_error","statistic","p_value","sigma_v","sigma_u","sigma_v_sq","sigma_u_sq","gamma","lambda_param","eta","log_likelihood","aic","bic","mean_te"
"pitt_lee","(Intercept)",1.48426772071372,0.031829998907326,46.6310955597331,0,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"pitt_lee","log_labor",0.249782181360404,0.00497903395528921,50.1667961302134,0,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"pitt_lee","log_capital",0.294624386109214,0.00549321250814778,53.6342596745008,0,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"pitt_lee","log_deposits",0.399085711591371,0.00269432383334778,148.120915033252,0,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"pitt_lee","sigmaSq",0.0456852043050207,0.00631104229250701,7.23893173070032,4.52232581769794e-13,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"pitt_lee","gamma",0.856506911419672,0.0205187598401925,41.7426256796442,0,0.0809661106151872,0.197812267660198,0.00655551106815074,0.03912969323687,0.856506911419672,2.44314894413483,NA,949.566901161214,-1887.13380232243,-1857.68727064853,0.858205253608271
"bc92","(Intercept)",1.48412666121206,0.0302258225829787,49.1012827570764,0,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
"bc92","log_labor",0.248504931067093,0.00497541379413421,49.9465856206913,0,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
"bc92","log_capital",0.295601387908062,0.00525162671089349,56.2875855770354,0,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
"bc92","log_deposits",0.399132914245821,0.00260790242877156,153.047487452907,0,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
"bc92","sigmaSq",0.0328409821895988,0.00463766933765786,7.08135483548389,1.42751855477938e-12,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
"bc92","gamma",0.818155398904706,0.0267459852150009,30.5898396461325,1.67075258116702e-205,0.0772784271698464,0.163917744261424,0.00597195530584525,0.0268690268837536,0.818155398904706,2.12113199329429,0.0404011692406269,991.139400937365,-1968.27880187473,-1933.92451492185,0.858484597638157
